,Unnamed: 0,drivewheels,wheelbase,length,width,height,curbweight,enginesize,bore,stroke,horsepower,citympg,highwaympg,price
0,0,2,88.6,0.811148486,0.890277778,48.8,2548,130,3.47,2.68,111,21,27,13495
1,1,2,88.6,0.811148486,0.890277778,48.8,2548,130,3.47,2.68,111,21,27,16500
2,2,2,94.5,0.822681403,0.909722222,52.4,2823,152,2.68,3.47,154,19,26,16500
3,3,1,99.8,0.848630466,0.919444444,54.3,2337,109,3.19,3.4,102,24,30,13950
4,4,0,99.4,0.848630466,0.922222222,54.3,2824,136,3.19,3.4,115,18,22,17450
5,5,1,99.8,0.851994234,0.920833333,53.1,2507,136,3.19,3.4,110,19,25,15250
6,6,1,105.8,0.925997117,0.991666667,55.7,2844,136,3.19,3.4,110,19,25,17710
7,7,1,105.8,0.925997117,0.991666667,55.7,2954,136,3.19,3.4,110,19,25,18920
8,8,1,105.8,0.925997117,0.991666667,55.9,3086,131,3.13,3.4,140,17,20,23875
9,9,2,101.2,0.849591543,0.9,54.3,2395,108,3.5,2.8,101,23,29,16430
10,10,2,101.2,0.849591543,0.9,54.3,2395,108,3.5,2.8,101,23,29,16925
11,11,2,101.2,0.849591543,0.9,54.3,2710,164,3.31,3.19,121,21,28,20970
12,12,2,101.2,0.849591543,0.9,54.3,2765,164,3.31,3.19,121,21,28,21105
13,13,2,103.5,0.908217203,0.929166667,55.7,3055,164,3.31,3.19,121,20,25,24565
14,14,2,103.5,0.908217203,0.929166667,55.7,3230,209,3.62,3.39,182,16,22,30760
15,15,2,103.5,0.931283037,0.943055556,53.7,3380,209,3.62,3.39,182,16,22,41315
16,16,2,110,0.946660259,0.984722222,56.3,3505,209,3.62,3.39,182,15,20,36880
17,17,1,88.4,0.678039404,0.8375,53.2,1488,61,2.91,3.03,48,47,53,5151
18,18,1,94.5,0.749159058,0.883333333,52,1874,90,3.03,3.11,70,38,43,6295
19,19,1,94.5,0.763094666,0.883333333,52,1909,90,3.03,3.11,70,38,43,6575
20,20,1,93.7,0.755886593,0.886111111,50.8,1876,90,2.97,3.23,68,37,41,5572
21,21,1,93.7,0.755886593,0.886111111,50.8,1876,90,2.97,3.23,68,31,38,6377
22,22,1,93.7,0.755886593,0.886111111,50.8,2128,98,3.03,3.39,102,24,30,7957
23,23,1,93.7,0.755886593,0.886111111,50.6,1967,90,2.97,3.23,68,31,38,6229
24,24,1,93.7,0.755886593,0.886111111,50.6,1989,90,2.97,3.23,68,31,38,6692
25,25,1,93.7,0.755886593,0.886111111,50.6,1989,90,2.97,3.23,68,31,38,7609
26,26,1,93.7,0.755886593,0.886111111,50.6,2191,98,3.03,3.39,102,24,30,8558
27,27,1,103.3,0.839019702,0.897222222,59.8,2535,122,3.34,3.46,88,24,30,8921
28,28,1,95.9,0.832292167,0.920833333,50.2,2811,156,3.6,3.9,145,19,24,12964
29,29,1,86.6,0.694858241,0.8875,50.8,1713,92,2.91,3.41,58,49,54,6479
30,30,1,86.6,0.694858241,0.8875,50.8,1819,92,2.91,3.41,76,31,38,6855
31,31,1,93.7,0.720807304,0.888888889,52.6,1837,79,2.91,3.07,60,38,42,5399
32,32,1,93.7,0.720807304,0.888888889,52.6,1940,92,2.91,3.41,76,30,34,6529
33,33,1,93.7,0.720807304,0.888888889,52.6,1956,92,2.91,3.41,76,30,34,7129
34,34,1,96.5,0.785199423,0.888888889,54.5,2010,92,2.91,3.41,76,30,34,7295
35,35,1,96.5,0.754925517,0.8875,58.3,2024,92,2.92,3.41,76,30,34,7295
36,36,1,96.5,0.80490149,0.905555556,53.3,2236,110,3.15,3.58,86,27,33,7895
37,37,1,96.5,0.80490149,0.905555556,53.3,2289,110,3.15,3.58,86,27,33,9095
38,38,1,96.5,0.842864008,0.905555556,54.1,2304,110,3.15,3.58,86,27,33,8845
39,39,1,96.5,0.842864008,0.868055556,54.1,2372,110,3.15,3.58,86,27,33,10295
40,40,1,96.5,0.842864008,0.905555556,54.1,2465,110,3.15,3.58,101,24,28,12945
41,41,1,96.5,0.812590101,0.916666667,51,2293,110,3.15,3.58,100,25,31,10345
42,42,2,94.3,0.820278712,0.858333333,53.5,2337,111,3.31,3.23,78,24,29,6785
43,43,2,96,0.829408938,0.905555556,51.4,2734,119,3.43,3.23,90,24,29,11048
44,44,2,113,0.959154253,0.966666667,52.8,4066,258,3.63,4.17,176,15,19,32250
45,45,2,113,0.959154253,0.966666667,52.8,4066,258,3.63,4.17,176,15,19,35550
46,46,2,102,0.921191735,0.980555556,47.8,3950,326,3.54,2.76,262,13,17,36000
47,47,1,93.1,0.764536281,0.891666667,54.1,1890,91,3.03,3.15,68,30,31,5195
48,48,1,93.1,0.764536281,0.891666667,54.1,1900,91,3.03,3.15,68,31,38,6095
49,49,1,93.1,0.764536281,0.891666667,54.1,1905,91,3.03,3.15,68,31,38,6795
50,50,1,93.1,0.801537722,0.891666667,54.1,1945,91,3.03,3.15,68,31,38,6695
51,51,1,93.1,0.801537722,0.891666667,54.1,1950,91,3.08,3.15,68,31,38,7395
52,52,2,95.3,0.812109563,0.9125,49.6,2380,70,3.329751244,0,101,17,23,10945
53,53,2,95.3,0.812109563,0.9125,49.6,2380,70,3.329751244,0,101,17,23,11845
54,54,2,95.3,0.812109563,0.9125,49.6,2385,70,3.329751244,0,101,17,23,13645
55,55,2,95.3,0.812109563,0.9125,49.6,2500,80,3.329751244,0,135,16,23,15645
56,56,1,98.8,0.854396925,0.923611111,53.7,2385,122,3.39,3.39,84,26,32,8845
57,57,1,98.8,0.854396925,0.923611111,55.5,2410,122,3.39,3.39,84,26,32,8495
58,58,1,98.8,0.854396925,0.923611111,53.7,2385,122,3.39,3.39,84,26,32,10595
